participant_id,file_name,file_format,file_description,file_mapping_level,file_size,md5sum,file_url_in_cds,imaging_modality,imaging_equipment_manufacturer,imaging_equipment_model,imaging_software,imaging_protocol,organ_or_tissue,longitudinal_temporal_event_type,longitudinal_temporal_event_offset,HTAN_Data_File_ID
HTA14_8,Protein_Slide_1-39_09132022.ome.tiff,OME-TIFF,,,11955484575,8f0b99e732ee9ccaab05b6a00507268b,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/Protein_Slide_1-39_09132022.ome.tiff,SM,GeoMx,GeoMx,GeoMx v 2.4.2.2,dx.doi.org/10.17504/protocols.io.ewov1o7wolr2/v1; dx.doi.org/10.17504/protocols.io.5qpvokbm7l4o/v1,Breast,,,HTA14_0000_3
HTA14_32,Protein_Slide_2-37_09142022.ome.tiff,OME-TIFF,,,13293631770,c26655b59d87588e464a597fb48e5eee,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/Protein_Slide_2-37_09142022.ome.tiff,SM,GeoMx,GeoMx,GeoMx v 2.4.2.2,dx.doi.org/10.17504/protocols.io.ewov1o7wolr2/v1; dx.doi.org/10.17504/protocols.io.5qpvokbm7l4o/v1,Breast,,,HTA14_0000_4
HTA14_37,TNP-TMA_Slide_30_10192021.ome.tiff,OME-TIFF,,,10526897922,5a93dad14fe971829351ebe8811cd207,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/TNP-TMA_Slide_30_10192021.ome.tiff,SM,GeoMx,GeoMx,GeoMx v 2.3,"dx.doi.org/10.17504/protocols.io.6qpvr6992vmk/v1, dx.doi.org/10.17504/protocols.io.eq2lyn25pvx9/v1",Breast,,,HTA14_0000_1
HTA14_51,TNP-TMA_Slide_33_RPT_10192021.ome.tiff,OME-TIFF,,,9537825364,6211b4375a41e3408c911014990d3d80,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/TNP-TMA_Slide_33_RPT_10192021.ome.tiff,SM,GeoMx,GeoMx,GeoMx v 2.3,"dx.doi.org/10.17504/protocols.io.6qpvr6992vmk/v1, dx.doi.org/10.17504/protocols.io.eq2lyn25pvx9/v1",Breast,,,HTA14_0000_2
HTA14_25,WTA_Slide_1-41.ome.tiff,OME-TIFF,,,12675151310,e00731dfdcf7d2e518c9befb605d9823,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/WTA_Slide_1-41.ome.tiff,SM,GeoMx,GeoMx,GeoMx v 2.4.2.2,dx.doi.org/10.17504/protocols.io.ewov1o7wolr2/v1; dx.doi.org/10.17504/protocols.io.kqdg3x157g25/v1,Breast,,,HTA14_0000_5
HTA14_41,WTA_Slide_2-38_09092022.ome.tiff,OME-TIFF,,,13278943673,c06d6dbcfacfc6bceeb087e964997a46,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/WTA_Slide_2-38_09092022.ome.tiff,SM,GeoMx,GeoMx,GeoMx v 2.4.2.2,dx.doi.org/10.17504/protocols.io.ewov1o7wolr2/v1; dx.doi.org/10.17504/protocols.io.kqdg3x157g25/v1,Breast,,,HTA14_0000_6
HTA7_905,LSP14363_P54_A31_C100_HMS_Orion7_20221206_045303_888956-zlib.ome.tiff,OME-TIFF,,,131029010733,ff9826271ecf43e7e003436aacadb7a3,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14363_P54_A31_C100_HMS_Orion7_20221206_045303_888956-zlib.ome.tiff,SM,Orion7,Orion7,OME Bio-Formats 6.3.1,http://dx.doi.org/10.17504/protocols.io.j8nlko4xxv5r/v1,Sigmoid Colon,,,HTA7_905_1004
HTA7_942,LSP14373_P54_A31_C100_HMS_Orion7_20221207_155149_781466-zlib.ome.tiff,OME-TIFF,,,87778629088,240a88c3ff774e7382102dc0353738a6,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14373_P54_A31_C100_HMS_Orion7_20221207_155149_781466-zlib.ome.tiff,SM,Orion7,Orion7,OME Bio-Formats 6.3.1,http://dx.doi.org/10.17504/protocols.io.j8nlko4xxv5r/v1,Descending Colon,,,HTA7_942_1004
HTA7_949,LSP14383_P54_A31_C100_HMS_Orion7_20221201_025039_540685-zlib.ome.tiff,OME-TIFF,,,54190779191,c6f16a5128c363aca5c149054cceb885,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14383_P54_A31_C100_HMS_Orion7_20221201_025039_540685-zlib.ome.tiff,SM,Orion7,Orion7,OME Bio-Formats 6.3.1,http://dx.doi.org/10.17504/protocols.io.j8nlko4xxv5r/v1,Ascending Colon,,,HTA7_949_1003
HTA7_950,LSP14388_P54_A31_C100_HMS_Orion7_20221209_031420_325238-zlib.ome.tiff,OME-TIFF,,,51063072670,67753de8ecf832af9ec23f11d5d04d8e,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14388_P54_A31_C100_HMS_Orion7_20221209_031420_325238-zlib.ome.tiff,SM,Orion7,Orion7,OME Bio-Formats 6.3.1,http://dx.doi.org/10.17504/protocols.io.j8nlko4xxv5r/v1,Ascending Colon,,,HTA7_950_1004
