sample_id,sample_description,biosample_accession,sample_type,sample_type_category,sample_tumor_status,sample_anatomic_site,sample_age_at_collection,derived_from_specimen,acquisition_method_type,tumor_tissue_type,tissue_fixative,embedding_medium,staining_method,objective,nominal_magnification,immersion,lensNA,working_distance,file_url_in_cds
HTA11_1391_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_1391_20000010116110030010000009999.tif
HTA11_1938_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_1938_20000010116110030010000009999.tif
HTA11_2112_2000001011,,,Tissue,,Unknown,Unknown,,,,Atypia or hyperplasia,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_2112_20000010116110030010000009999.tif
HTA11_2235_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_2235_20000010116110030010000009999.tif
HTA11_2487_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_2487_20000010116110030010000009999.tif
HTA11_2951_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_2951_20000010116110030010000009999.tif
HTA11_3077_2000001011,,,Tissue,,Unknown,Unknown,,,,Not reported,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_3077_20000010116110030010000009999.tif
HTA11_3252_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_3252_20000010116110030010000009999.tif
HTA11_3331_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_3331_20000010116110030010000009999.tif
HTA11_3361_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_3361_20000010116110030010000009999.tif
HTA11_3410_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_3410_20000010116110030010000009999.tif
HTA11_347_2000001011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_347_20000010116110030010000009999.tif
HTA11_377_2000001011,,,Tissue,,Unknown,Unknown,,,,Normal,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_377_20000010116110030010000009999.tif
HTA11_392_3000011011,,,Tissue,,Unknown,Unknown,,,,Premalignant,Unknown,Unknown,H&E,Leica PL APO 20X/0.65 0.17 M25,40,Air,0.65,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/h_and_e_level_1/HTA11_392_30000110116110030010000009999.tif
