Channel_Metadata_Filename,Channel_Metadata_ID
h_and_e_level_1/metadata/HTA11_1391_20000010116110030010000009999_metadata.csv,syn25164974
h_and_e_level_1/metadata/HTA11_1938_20000010116110030010000009999_metadata.csv,syn25164975
h_and_e_level_1/metadata/HTA11_2112_20000010116110030010000009999_metadata.csv,syn25164976
h_and_e_level_1/metadata/HTA11_2235_20000010116110030010000009999_metadata.csv,syn25164977
h_and_e_level_1/metadata/HTA11_2487_20000010116110030010000009999_metadata.csv,syn25164978
h_and_e_level_1/metadata/HTA11_2951_20000010116110030010000009999_metadata.csv,syn25164979
h_and_e_level_1/metadata/HTA11_3077_20000010116110030010000009999_metadata.csv,syn25164980
h_and_e_level_1/metadata/HTA11_3252_20000010116110030010000009999_metadata.csv,syn25164981
h_and_e_level_1/metadata/HTA11_3331_20000010116110030010000009999_metadata.csv,syn25164983
h_and_e_level_1/metadata/HTA11_3361_20000010116110030010000009999_metadata.csv,syn25164984
h_and_e_level_1/metadata/HTA11_3410_20000010116110030010000009999_metadata.csv,syn25164985
h_and_e_level_1/metadata/HTA11_347_20000010116110030010000009999_metadata.csv,syn25164966
h_and_e_level_1/metadata/HTA11_377_20000010116110030010000009999_metadata.csv,syn25164967
h_and_e_level_1/metadata/HTA11_392_30000110116110030010000009999_metadata.csv,syn25164968
h_and_e_level_1/metadata/HTA11_411_20000010116110030010000009999_metadata.csv,syn25164969
h_and_e_level_1/metadata/HTA11_4255_20000010116110030010000009999_metadata.csv,syn25164986
h_and_e_level_1/metadata/HTA11_4781_20000010116110030010000009999_metadata.csv,syn25164987
h_and_e_level_1/metadata/HTA11_4814_20000010116110030010000009999_metadata.csv,syn25164988
h_and_e_level_1/metadata/HTA11_5212_20000010116110030010000009999_metadata.csv,syn25164989
h_and_e_level_1/metadata/HTA11_5216_20000010116110030010000009999_metadata.csv,syn25164991
h_and_e_level_1/metadata/HTA11_5363_20000010116110030010000009999_metadata.csv,syn25164992
h_and_e_level_1/metadata/HTA11_546_20000010116110030010000009999_metadata.csv,syn25164971
h_and_e_level_1/metadata/HTA11_5994_20000010116110030010000009999_metadata.csv,syn25164993
h_and_e_level_1/metadata/HTA11_6025_20000010116110030010000009999_metadata.csv,syn25164994
h_and_e_level_1/metadata/HTA11_6134_20000010116110030010000009999_metadata.csv,syn25164995
h_and_e_level_1/metadata/HTA11_6147_20000010116110030010000009999_metadata.csv,syn25164997
h_and_e_level_1/metadata/HTA11_6310_20000010116110030010000009999_metadata.csv,syn25164998
h_and_e_level_1/metadata/HTA11_696_20000010116110030010000009999_metadata.csv,syn25164972
h_and_e_level_1/metadata/HTA11_83_20000010116110030010000009999_metadata.csv,syn25164965
h_and_e_level_1/metadata/HTA11_866_20000010116110030010000009999_metadata.csv,syn25164973
mibi_imaging_level_2/mibi_channel_details.csv,syn26942637
mxif_level_2/AFsubtracted/metadata/HTA11_1391_20000010115220280010000000000_metadata.csv,syn25126434
mxif_level_2/AFsubtracted/metadata/HTA11_1391_20000010115220280020000000000_metadata.csv,syn25126433
mxif_level_2/AFsubtracted/metadata/HTA11_1391_20000010115220280030000000000_metadata.csv,syn25126432
mxif_level_2/AFsubtracted/metadata/HTA11_1938_20000010115220280010000000000_metadata.csv,syn25126431
mxif_level_2/AFsubtracted/metadata/HTA11_1938_20000010115220280020000000000_metadata.csv,syn25126430
mxif_level_2/AFsubtracted/metadata/HTA11_2112_20000010115220260010000000000_metadata.csv,syn25126429
mxif_level_2/AFsubtracted/metadata/HTA11_2112_20000010115220260020000000000_metadata.csv,syn25126428
mxif_level_2/AFsubtracted/metadata/HTA11_2112_20000010115220260030000000000_metadata.csv,syn25126427
mxif_level_2/AFsubtracted/metadata/HTA11_2112_20000010115220260040000000000_metadata.csv,syn25126426
mxif_level_2/AFsubtracted/metadata/HTA11_2235_20000010115220280010000000000_metadata.csv,syn25126425
mxif_level_2/AFsubtracted/metadata/HTA11_2235_20000010115220280020000000000_metadata.csv,syn25126424
mxif_level_2/AFsubtracted/metadata/HTA11_2235_20000010115220280030000000000_metadata.csv,syn25126423
mxif_level_2/AFsubtracted/metadata/HTA11_2487_20000010115220260010000000000_metadata.csv,syn25126422
mxif_level_2/AFsubtracted/metadata/HTA11_2487_20000010115220260020000000000_metadata.csv,syn25126421
mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280010000000000_metadata.csv,syn25126420
mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280020000000000_metadata.csv,syn25126419
mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280030000000000_metadata.csv,syn25126418
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280010000000000_metadata.csv,syn25126417
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280020000000000_metadata.csv,syn25126416
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280030000000000_metadata.csv,syn25126415
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280040000000000_metadata.csv,syn25126414
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260010000000000_metadata.csv,syn25126413
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260020000000000_metadata.csv,syn25126412
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260030000000000_metadata.csv,syn25126411
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260040000000000_metadata.csv,syn25126410
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260050000000000_metadata.csv,syn25126409
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260060000000000_metadata.csv,syn25126407
mxif_level_2/AFsubtracted/metadata/HTA11_3331_20000010115220280010000000000_metadata.csv,syn25126406
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260010000000000_metadata.csv,syn25126405
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260020000000000_metadata.csv,syn25126404
