sample_id,sample_description,biosample_accession,sample_type,sample_type_category,sample_tumor_status,sample_anatomic_site,sample_age_at_collection,derived_from_specimen,acquisition_method_type,tumor_tissue_type,tissue_fixative,embedding_medium,imaging_assay_type,objective,nominal_magnification,lens_numerical_aperture,immersion,working_distance,pyramid,z-stack,t_series,physical_size_x,physical_size_y,physical_size_z,size_c,size_t,size_x,size_y,size_z,channel_metadata_filename,file_url_in_cds
HTA14_8_82,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,GeoMX-DSP,,20,0.45,Air,,False,no,no,0.3994408,0.3986764,0.3994408,3,1,49152,81920,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_channel_metadata/HTAN_TMA_TNP_Nanostring_GeoMx_DSP_Channel_Data.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/Protein_Slide_1-39_09132022.ome.tiff
HTA14_32_78,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,GeoMX-DSP,,20,0.45,Air,,False,no,no,0.3994408,0.3986764,0.3994408,3,1,49152,81920,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_channel_metadata/HTAN_TMA_TNP_Nanostring_GeoMx_DSP_Channel_Data.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/Protein_Slide_2-37_09142022.ome.tiff
HTA14_37_63,,,Cell,,Unknown,Unknown,,,,Primary,Formalin,Unknown,GeoMX-DSP,,20,0.45,Air,,False,no,no,0.399106,0.398247719,0.399106,3,1,32768,32768,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_channel_metadata/HTAN_TMA_TNP_Nanostring_GeoMx_DSP_Channel_Data.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/TNP-TMA_Slide_30_10192021.ome.tiff
HTA14_51_69,,,Cell,,Unknown,Unknown,,,,Primary,Formalin,Unknown,GeoMX-DSP,,20,0.45,Air,,False,no,no,0.399106,0.398247719,0.399106,3,1,32768,32768,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_channel_metadata/HTAN_TMA_TNP_Nanostring_GeoMx_DSP_Channel_Data.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/TNP-TMA_Slide_33_RPT_10192021.ome.tiff
HTA14_25_83,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,GeoMX-DSP,,20,0.45,Air,,False,no,no,0.3994408,0.3986764,0.3994408,3,1,49152,81920,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_channel_metadata/HTAN_TMA_TNP_Nanostring_GeoMx_DSP_Channel_Data.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/WTA_Slide_1-41.ome.tiff
HTA14_41_79,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,GeoMX-DSP,,20,0.45,Air,,False,no,no,0.3994408,0.3986764,0.3994408,3,1,49152,81920,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_channel_metadata/HTAN_TMA_TNP_Nanostring_GeoMx_DSP_Channel_Data.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-tma-tnp/geomx_imaging_level_2/WTA_Slide_2-38_09092022.ome.tiff
HTA7_905_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,78207,59580,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14363_P54_A31_C100_HMS_Orion7_20221206_045303_888956-zlib.ome.tiff
HTA7_942_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,73286,39135,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14373_P54_A31_C100_HMS_Orion7_20221207_155149_781466-zlib.ome.tiff
HTA7_949_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,61183,29654,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14383_P54_A31_C100_HMS_Orion7_20221201_025039_540685-zlib.ome.tiff
HTA7_950_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,48961,37299,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14388_P54_A31_C100_HMS_Orion7_20221209_031420_325238-zlib.ome.tiff
HTA7_951_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,59453,62231,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14393_P54_A31_C100_HMS_Orion7_20221202_040655_948674-zlib.ome.tiff
HTA7_952_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,47900,17669,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14398_P54_A31_C100_HMS_Orion7_20221201_201503_606038-zlib.ome.tiff
HTA7_953_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,82231,28990,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14403_P54_A31_C100_HMS_Orion7_20221208_024948_949376-zlib.ome.tiff
HTA7_955_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,44684,42474,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14408_P54_A31_C100_HMS_Orion7_20221207_204146_277562-zlib.ome.tiff
HTA7_959_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,72028,36802,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14413_P54_A31_C100_HMS_Orion7_20221205_211954_411538-zlib.ome.tiff
HTA7_907_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,82306,31694,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14418_P54_A31_C100_HMS_Orion7_20221206_202231_473290-zlib.ome.tiff
HTA7_961_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,68730,36834,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14423_P54_A31_C100_HMS_Orion7_20221210_032129_562175-zlib.ome.tiff
HTA7_969_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,50032,39259,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14438_P54_A31_C100_HMS_Orion7_20221210_032243_420995-zlib.ome.tiff
HTA7_971_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,79367,46441,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14443_P54_A31_C100_HMS_Orion7_20221205_050456_166310-zlib.ome.tiff
HTA7_975_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,62756,32123,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14448_P54_A31_C100_HMS_Orion7_20221208_024840_480211-zlib.ome.tiff
HTA7_976_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,64956,35382,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14453_P54_A31_C100_HMS_Orion7_20221206_201908_189588-zlib.ome.tiff
HTA7_977_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,48936,50578,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14458_P54_A31_C100_HMS_Orion7_20221205_185624_755616-zlib.ome.tiff
HTA7_978_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,59875,33441,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14463_P54_A31_C100_HMS_Orion7_20221208_191916_816990-zlib.ome.tiff
HTA7_979_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,70340,29406,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14468_P54_A31_C100_HMS_Orion7_20221207_155237_137563-zlib.ome.tiff
HTA7_980_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,47411,34440,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14473_P54_A31_C100_HMS_Orion7_20221201_201546_633863-zlib.ome.tiff
HTA7_984_6,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,38413,22311,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14483_P54_A31_C100_HMS_Orion7_20221130_191946_931056-zlib.ome.tiff
HTA7_910_5,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,MxIF,,20,,,,True,No,No,0.325,0.325,0.325,19,1,43250,57880,1,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202307_channel_metadata/73-11-channel-metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-hms/ORION202305_imaging_level_2/LSP14493_P54_A31_C100_HMS_Orion7_20221209_193812_901594-zlib.ome.tiff
